Büfe Adı,İlçe,Mahalle,Adres,(B)üfe / (S)atış Noktası
YILDIZ MARKET,SULTANGAZİ,GAZI MAH,1366 SK NO 13,S
BOMONTİ BÜFE,ŞİŞLİ,MERKEZ MAH.,MERKEZ MAH. SIRACEVİZLER CAD. NO:10 ÖNÜ BOMONTİ OTOBÜS DURAĞI YANI,B
FERİKÖY İSKİ BÜFE,ŞİŞLİ,Feriköy,Yay meydanı cad. iski önü,B
HALİDE EDİP ADIVAR BÜFE,ŞİŞLİ,Halide Edip Adıvar,Halide Edip Adıvar caddesi Halide Edip Adıvar ilköğretim okulu önü,B
KARKUYUSU BÜFE,ŞİŞLİ,Kuştepe,mecidiyeköy yolu caddesi Antikacılar park içi,B
MECİDİYEKÖY BÜFE,ŞİŞLİ,Fulya,Mecidiyeköy Meydanı,B
NİLÜFER HATUN BÜFE,ŞİŞLİ,Teşvikiye,şakayık sokak nilüfer hatun ilköğretim okulu önü,B
SSK OKMEYDANI BÜFE,ŞİŞLİ,Kaptanpaşa,darülaceze caddesi ssk okmeydaı hastanesi önü,B
ŞİŞLİ BÜFE,ŞİŞLİ,MERKEZ MAHALLESİ,İSTİKLAL SOKAK K.E.Y. PLAZA KARŞISI,B
CİNDERESİ GIDA,ŞİŞLİ,YAYLA MAH.,CİNDERESİ SOK.İ.E.T.T.DURAK YANI FERİKÖY,S
ELMAS GIDA PAZARI,ŞİŞLİ,MECİDİYEKÖY MAH.,GÜLBAHAR CAD. GÜNGÖR APR.NO:11 D,S
EMREM DOĞAL ÜRÜNLER GIDA,ŞİŞLİ,GÜLBAHAR MAH.,GÜLBAHAR CAD. NO:4-B,S
ERES MARKET,ŞİŞLİ,19 MAYIS MAH.,ÇORUH SK. NO:7 ERES MARKET,S
KAYA MARKET(SEYFETTİN ATA),ŞİŞLİ,KUŞTEPE MAH.,KUŞTEPE MAH. İNÖNÜ CAD. NO.109/A KAYA MARKET,S
KURTULUŞ GIDA,ŞİŞLİ,KURTULUŞ MAH.,SON DURAK İ.E.T.T.KARŞISI.,S
NAS GIDA,ŞİŞLİ,BOZKURT MAH.,SEYMEN SOK. NO:26/A ŞİŞLİ/İSTANBUL ŞİŞLİ/İSTANBUL,S
OKMEYDANI GIDA,ŞİŞLİ,MAHMUT ŞEVKET PAŞA MAH.,FEVZİ ÇAKMAK CAD. NO:7,S
İSMET ECİN - AYDINLI MERKEZ,TUZLA,AYDINLI,AYDINLI MAH. DERSAADET CAD.,B
KEVSER ÖZCAN-İÇMELER BÜFE,TUZLA,İÇMELER,İÇMELER MAH.ANKARA CD.NO 34MERKEZ CAMİ YANI,B
MEHMET ALİ BAYRAK-EMLAK KONUTLARI BÜFE,TUZLA,AYDINLI MAH.ÇAMLIBELDE YOLU CAD. İLE ESRA SOKAK KESİŞİMİ,AYDINLI,B
PINAR BAŞ - ŞİFA KİPTAŞ 2,TUZLA,MİMARSİNAN,MİMARSİNAN MAH. KİPTAŞ 2 KONUTLARI ÖN KISMI,B
SAİM ÖZARSLAN-AYDINLIKÖY TOKİ,TUZLA,AYDINLI,AYDINLI MAH.ÖZÇINAR SOK. SELVİ SOK.,B
DERYA GIDA,TUZLA,YAYLA MAHALLESİ,ŞİNASİ DURAL CADDESİ 62-1,S
NASİBİM MARKET,TUZLA,YAYLA MAH.,YAYLA MAH.ALİİHSANPAŞA CD.NO 28,S
ŞENOL SÜT ÜRÜNLERİ,TUZLA,AYDINTEPE,AYDINTEPE MAH. BATU SK.NO:60,S
TUFAN GIDA,TUZLA,İSTASYON MAH.,İSTASYON MAH.ÇİÇEKÇİLER CD.NO 30 TUZLA,S
YALÇIN MARKET,TUZLA,ŞİFA MAH.,ŞİFA MAH.İNÖNÜ CAD. NO.13/B,S
ADEM YAVUZ BÜFE-FİLİZ YAHŞİ,ÜMRANİYE,Kazım Karabekir,Kazım Karabekir Mahallesi Adem Yavuz Caddesi ve Yeşil Gönen Sokak Kesişimi Yan tarafı,B
ANAFARTALAR BÜFE- MUSTAFA YILDIRIM,ÜMRANİYE,İstiklal,İstiklal Mahallesi Anafartalar Cad. ve Talatpaşa Cad. arası park alanı yanında Anafartalar Caddesi tarafı,B
ASİL BÜFE- SIRRI KARTAL,ÜMRANİYE,Kazım Karabekir,Kazım Karabekir Caddesi Asil Caddesi ve Orta Sokak Kesişimi No:50,B
ASYA BÜFE - ABDULKADİR KAYA,ÜMRANİYE,MEHMET AKİF MAHALLESİ,AZİZ BULVARI ASYA SOKAK KESİŞİMİ,B
BAYRAKTAR BÜFE KENAN YALÇİ,ÜMRANİYE,IHLAMIRKUYU MAHALLESİ,YEŞİLDERE CADDESİ BÜLBÜL SOKAK KESİŞİMİ,B
CEMİL MERİÇ BÜFE- UFUK ASLAN,ÜMRANİYE,PARSELLER MAHALLESİ,ORHANGAZİ CADDESİ İMAM ŞAFİ CAMİ YANI,B
İKBAL BÜFE- CENGİZ DEMİR,ÜMRANİYE,ÇAMLIK MAHALLESİ,ÇAMLIK MAHALLESİ HATBOYU CADDESİ SAĞLIK MEZKEZİ KARŞISI,B
İNKİLAP BÜFE - ADEM YILMAZ,ÜMRANİYE,İNKİLAP MAHALLESİ,HAŞİM İŞCAN SOKAK HÜSEYİN KAPLAN PARKI,B
KARABEKİRSON DURAK-SEVİM BARAN,ÜMRANİYE,KAZIM KARABEKİR,ADEM YAVUZ CD İETT SON DURAĞI,B
KEMERDERE BÜFE - EMEL ŞİT,ÜMRANİYE,Esenşehir,Esenşehir Mahallesi Dilber Sokak Çetinkaya Arkası,B
MADENLER BÜFE NECATİ BALCI,ÜMRANİYE,Esenşehir,Esenşehir Mahallesi Arafat Sokak No:4 Madenler Mevkii Yeşil Kuşak Site önü,B
MARMARA BÜFE - COŞKUN BEYAZ,ÜMRANİYE,Namık Kemal,Marmara Caddesi ve Hat Boyu Caddesi Kesişimi,B
MAVERA BÜFE- HASAN POLAT,ÜMRANİYE,Atatürk,Atatürk Mahallesi Mavera Parkı Karşısı,B
MEHMET YILDIRIM -VATAN BÜFE,ÜMRANİYE,İnkılap,Inkılap Mahallesi Fevzi Paşa Cad. ve Vatan Cad. Kesişimi Tedaş Trafo Yanı,B
PARSELLER BÜFE- SELMA SİDAR,ÜMRANİYE,PARSELLER MAHALLESİ,PARSELLER MAHALLESİ FİLİZ SOKAK GİRİŞİ,B
SEVGİ PARKI HALİDE VAROL,ÜMRANİYE,Çakmak MAHALLESİ,İkbal Caddesi Girişi Sevgi Park Yanı,B
SİTE BÜFE - AHMET GÖZLEMECİ,ÜMRANİYE,İNKİLAP MAHALLESİ,İnkılap Mahallesi Alemdağ Caddesi Çakmak Site Durağı,B
SULTAN BÜFE- MÜRVET DENİZ,ÜMRANİYE,Atatürk,Atatürk Mahallesi Fatih Sultan Mehmet Caddesi Bıldırcın Sokak Karşısı Telefon Kulübeleri Yanı,B
TALATPAŞA BÜFE- ANIL EDİŞ,ÜMRANİYE,Namık Kemal,Akşemsettin Sokak ve Talatpaşa Caddesi Kesişimi,B
TANZİM BÜFE- BURHANETTİN PEKGÖZ,ÜMRANİYE,Atatürk,Atatürk Mahallesi Çavuşbaşı Caddesi Yıldız Sokak Karşısı,B
TATLISU BÜFE -EMİNE VAN,ÜMRANİYE,Yukarı Dudullu,Yukarı Dudullu Mahallesi Acısu Caddesi Hazar Sokak Karşısı,B
TAVUKCUYOLU-PERİHAN ÖKSÜZ,ÜMRANİYE,Yukarı Dudullu,Yukarı Dudullu Mahallesi Doğanevler Caddesi,B
TURHAN ULUDEMİRCİLER-IHLAMURKUYU,ÜMRANİYE,IHLAMURKUYU,CEMİL MERİÇ MAH.CEMİL MERİÇ KÜLTÜR,B
UHUT BÜFE- MEHMET ERDEN,ÜMRANİYE,Ihlamurkuyu,Ihlamurkuyu Mahallesi Petrol Yolu Cad. Merkez Cami Önü,B
YILDIRIM BEYAZIT BÜFE- KEZİBAN ÇAKI,ÜMRANİYE,Aşağı Dudullu,Hasan Hüseyin Cami Yanı Cami Sokak Köşesi,B
YILDIZ KARAGÖZ- ÜMRANİYE MERKE,ÜMRANİYE,,ALEMDAĞ CAD. SONDURAK,B
ZEYNEP ŞİMŞEK-ACISU,ÜMRANİYE,Yukarı Dudullu,Acısu Caddesi Evren Sokak Köşesi Muhtarlık Karşısı,B
ALKAN GIDA,ÜMRANİYE,ÇAKMAK MAH.,ÇAKMAK HAH. NEYZEN TEYFİK SOK. NO.10/A,S
BARIŞ GIDA,ÜMRANİYE,İNKILAP,İNKILAP MAH. GÜLÜM SOK.NO: 12/2,S
FIRAT ET GIDA,ÜMRANİYE,İSTİKLALMAH.,İSTİKLAL MAH. KİRAZ SOK NO.16/A,S
GÜNEŞ ÖZEL BÜFE,ÜMRANİYE,SİTE MAH.,SİTE MAH. 3008 CAD. NO :2/A,S
KAMALIOĞLU MARKET,ÜMRANİYE,İNKİLAP MAH.,İNKİLAP MAH.SEYİTONBAŞI SK.NO 21,S
KÜÇÜKSU ÖZEL BÜFE,ÜMRANİYE,HEKİMBAŞI MAH.,HEKİM BAŞI MAH.KÜÇÜKSU CAD.KÖŞK DURAĞİ ARKASI,S
AHMET ÜLGEN-ÜSKÜDAR MEYDAN BÜFE,ÜSKÜDAR,SULTANTEPE,ÜSKÜDAR DEMOKRASİ MEYDANI MİHRİMAH SULTAN CAMİ ÖNÜ,B
ALİ KAZIM BAYRAKTAR-BULGURLU BÜFE,ÜSKÜDAR,BULGURLU,BULGURLU MAH.SÖĞÜTLÜ ÇAYIR CAD.SÖĞÜTLÜ,B
CİLVE KARADAĞ-EMNİYET BÜFE,ÜSKÜDAR,EMNİYET,EMNİYET MAH.F.SULTAN MEHMET CAD.SAĞLIK,B
DİLEK KILIÇ-KİRAZLI TEPE BÜFE,ÜSKÜDAR,KÜPLÜCE,NATAYOLU PINAR SOK.NO.90,B
GÜLAY TOPALOĞLU-BAHÇELİEVLER BÜFE,ÜSKÜDAR,BAHÇELİEVLER,BAHÇELİEVLER MAH.SULTANMURAT CAD.,B
HIZIR YÜKSEL - ALTUNİZADE BÜFE,ÜSKÜDAR,ALTUNİZADE,METROBÜS DURAĞI ALTUNİZADE,B
HÜLYA KESELİOĞLU-EĞİTİM BÜFE,ÜSKÜDAR,MURAT REİS,GAZİ CAD.NO.21,B
İLHAN AKSU-ÇİÇEKÇİ BÜFE,ÜSKÜDAR,ZEYNEP KAMİL,NUH KUYUSU CAD.KARACAAHMET DUVAR DİBİ,B
KEZİBAN MENTEŞ-GÜZELTEPE BÜFE,ÜSKÜDAR,FERAH,FERAH MAH.FERAH CAD.SON DURAK,B
KEZİBAN ÖZCAN KESKİN-NUROL BÜFE,ÜSKÜDAR,CUMHURİYET,CUMHURİYET MAH.KARLIDERE CAD. İLE,B
MEHMET ŞERİF ALKAN-ÜNALAN MERKEZ,ÜSKÜDAR,ÜNALAN,BARAJYOLU CAD.LALE SOK.KAVŞAĞI,B
MUSTAFA DÖNMEZ-TARİH BÜFE,ÜSKÜDAR,YAVUZTÜRK,YAVUZTÜRK M. KARADENİZ C. NO:147/1,B
MÜNÜR TEK-RASATHANE BÜFE,ÜSKÜDAR,KÜÇÜKSU,KÜÇÜKSU MAH.RASATHANE CD İLE ALPARSLAN SK.KESİŞİMİ,B
NECDET YILDIRIM-CUMA PAZARI BÜFE,ÜSKÜDAR,AHMEDİYE,YENİ TOPTAŞI CAD.H.RÜŞTÜ,B
OSMAN BİLGİN-ÇENGELKÖY İTFAİYE,ÜSKÜDAR,BAHÇELİEVLER,GÜZELTEPE MAH.BASIN BULVARI İTFAİYE,B
PEHLİVAN GÜR-HEKİMBAŞI ÇİFTLİK,ÜSKÜDAR,KÜÇÜKSU,KÜÇÜKSU MAH.HEKİMBAŞI ÇİFTLİK CAD. BAHÇELİ EVLER DURAK YANI,B
RAKİP SARICAN-ÇENGELKÖY BÜFE,ÜSKÜDAR,ÇENGELKÖY,HALK CAD. HÜSAMETTİN ERTÜRK SOK.GİRİŞİ,B
RIDVAN DEMİR-FERAH BÜFE,ÜSKÜDAR,KISIKLI,ÜSKÜDAR KISIKLI MAH. MUHTARLIK ÖNÜ,B
SEYFİTTİN KARADAĞ - YAVUZTÜRK,ÜSKÜDAR,,YAVUZTÜRK M. KARADENİZ C. NO:147/1,B
ŞEHRİ TABAK-ÜNALAN METRO,ÜSKÜDAR,ÜNALAN,ÜNALAN MAH.ÜNALAN METRO 5 NOLU GİRİŞ,B
AKANSU GIDA,ÜSKÜDAR,BULGURLU MAHALLESİ,BAĞLAR İÇİ SOKAK NO 11-6,S
CENGİZ UNLU MAM.,ÜSKÜDAR,VALİDE İ ATİK MAH,VALİDE İ ATİK MAH.KARTALBABA CD.OZYEĞİN AP.110-3,S
ÇAĞLAYAN GIDA,ÜSKÜDAR,ÜNALAN MAH.,ÜNALAN MAH.ÇAĞLAYAN SK.NO 4 B,S
ÇİÇEK UNLU MAM.,ÜSKÜDAR,KÜPLÜCE MAH.,HATTAT HASAN ÇELEBİ CAD.,S
ÇİNİLİ ÖZEL BÜFE,ÜSKÜDAR,VALİDEİ ATİK MAH.,ÇAVUŞDERE CAD.ODALAR ÇIKMAZI ÇİNİLİ CAMİİ KARŞIŞI,S
ERDEM ÖZEL BÜFE,ÜSKÜDAR,ACİBADEM MAH.,ACİBADEM MAH.ERDEM ÇİKMAZI SOK.PARK GİRİŞİ,S
FAKÜLTE ÖZEL BÜFE,ÜSKÜDAR,BARBAROS MAH.,MÜTEVEELİ ÇEŞME SOK. NO.2,S
İSTİKRAR ÖZEL BÜFE,ÜSKÜDAR,MEHMET AKİF ERSOY MAH,MEHMET AKİF ERSOY MAH.HASİPPAŞA CAD. NO.60./1,S
KARADAĞLAR MARKET,ÜSKÜDAR,KÜÇÜKSU MAH.,RASATHANE CAD. NO.18,S
KAYNAK UNLU MAM.,ÜSKÜDAR,KÜPLÜCE MAH.,KÜPLÜCE MAH.MEHMET AFA C. NO:60/A,S
MELTEM GIDA,ÜSKÜDAR,YAVUZTÜRK MAH.,YAVUZTÜRK MAH.KARADENİZ CD.NO 10,S
SULTAN MURAT GIDA,ÜSKÜDAR,BAHÇELİEVLER MAH.,BAHÇELİEVLER MAH. MIZRAK SOKAK NO:3,S
DÖNMEZ BÜFE,ZEYTİNBURNU,Merkez Efendi,Merkezefendi Mah. Çiftlik Yolu G-62 Sk.,B
GÖKALP BÜFE,ZEYTİNBURNU,Gökalp,Gökalp Mah. Mektep Önü Sk.,B
KUBBELİ BÜFE,ZEYTİNBURNU,Nuripaşa,Nuripaşa Mah. 65. Sk No:64,B
MODABAĞ BÜFE,ZEYTİNBURNU,Çırpıcı,Çırpıcı Mah. Rüstem Balkan Sk. No:45,B
NURİPAŞA 1 BÜFE,ZEYTİNBURNU,Nuripaşa,Nuripaşa Mah. 65/2 Sk.,B
SAMET BÜFE,ZEYTİNBURNU,Beştelsiz,Beştelsiz Mah. 114-1 Sk.,B
SEYİTNİZAM 1 BÜFE,ZEYTİNBURNU,Seyitnizam,Seyitnizam Mah. G 38. Sk.,B
TELSİZ 1 BÜFE,ZEYTİNBURNU,Telsiz,Telsiz Mah. Nergis Sk. Park İçi,B
TELSİZ 2 BÜFE,ZEYTİNBURNU,TELSİZ MAH.,80/2 SOK.,B
TÜRKİSTAN BÜFE,ZEYTİNBURNU,Nuripaşa,Nuripaşa Mah. 29/2 Sk. ve 62/4 Sk Köşesi,B
AKSAL GIDA,ZEYTİNBURNU,VELİEFENDİ MAH.,75.SOK.NO:21/B,S
ELMASIM GIDA,ZEYTİNBURNU,SÜMER MAH.,ÇİÇEK SOK.NO:6D.NO:2,S
İSTANBUL MARKET,ZEYTİNBURNU,VELİEFENDİ MAH.,SEMT SAHA YOLU SOK.24/A,S
KARADENİZ GIDA,ZEYTİNBURNU,VELİEFENDİ MAH.,75/2 SOK.NO:86,S
SADETTİN DİLDAR GIDA,ZEYTİNBURNU,TELSİZ MAH.,85/5 SK. NO: 19 A,S
SAKARYA GIDA,ZEYTİNBURNU,VELİEFENDİ MAH.,YENİ KARAKOL SOK. NO : 2 / A,S
SELÇUK KÖSE GIDA,ZEYTİNBURNU,NURİPAŞA MAH.,63.SOK.NO:27,S
SEYİT NİZAM GIDA,ZEYTİNBURNU,SEYİT NİZAM MAH.,MEVLANA CAD.NO:10,S
SÜLEYMAN KOÇ GIDA,ZEYTİNBURNU,YEŞİLTEPE MAH.,53/1 SOK.NO:24,S
YILDIRIM GIDA,ZEYTİNBURNU,SÜMER MAH.,56 SOK.NO.77/2,S
YUSUF TUNÇ GIDA,ZEYTİNBURNU,,85. SK ÇARŞI CAMİİ TELSİZ,S
